ID,WYMAGANIA
22,"Część serwerowa aplikacji umożliwia generowanie raportu zbiorczego uwzględniając:
- pozycję w klasyfikacji generalnej 
- nazwę zawodnika lub drużyny 
- ilość przyznawanych punktów za każde zadanie danego zawodnika/drużynę 
- sumę zdobytych punktów przez danego zawodnika/drużynę"
23,"Część serwerowa w aplikacji rejestruje wszystkie czynności (np. poprawnie odebrany raport, niepoprawnie odebrany raport, poprawnie oceniony raport) w dzienniku zdarzeń części serwerowej"
24,Część serwerowa na bieżąco zlicza ilość odebranych od uczestników raportów z zadań
25,"Wszystkie komunikaty, informacje oraz nazwy klawiszy w interfejsie graficznym muszą być w języku polskim "
26,"Okno aplikacji klienckiej dzieli się na dwie części - okno ""Zadania"" oraz ""Menu boczne"" ułożone po prawej stronie
Okno ""Menu boczne"" zawiera pola: 
- Czas
- Nr zadania
- Opis problemu
- Lista zadań
- przyciski nawigacyjne ""Następne"" i ""Poprzednie""
- Zgłoś defekt
- Zakończ"
28,"Format pola ""czas"" gg:mm:ss - godzina, minuta, sekunda"
29,"Pole ""Nr zadania"" podaje numer zadania wyświetlonego w oknie ""Zadania"""
30,"Pole ""Opis problemu"" - zawiera ogólną informację na temat zadania wyświetlonego w polu ""zadania"" wraz z ilością punktów za zadanie w górnej części pola"
31,"Pole ""Lista zadań"" - umożliwia nawigację pomiędzy zadaniami. Zadania bez
 udzielonej odpowiedzi, z udzieloną odpowiedzią i aktualnie wyświetlone
 muszą się odznaczać innym kolorem."
32,Przyciski nawigacyjne - “Następne” i “Poprzednie” umożliwiają przeniesienie się do odpowiednio następnego i poprzedniego zadania.
33,"Po kliknięciu przycisku ""Zgłoś defekt"" wyświetla się nowe okno z listą kategorii błędów w postaci checkbox. Możliwy wybór jednego defektu
- Funkcjonalność
- Przenaszalność
- Bezpieczeństwo
- Niezawodność
- Wydajność
- Walidacja wartości pola
- Walidacja danych
- Informacja w interfejsie niezgodna z rzeczywistością
- Dopasowanie
- Dostępność
- Interfejs
- Baza danych
- Wartości graniczne i klasy równoważności
- Przepływ sterowania
- Operacje matematyczne"
34,"Przycisk ""Zgłoś defekt"" raportuje defekt aktualnie wyświetlanego w oknie ""Zadania""."
35,"Przycisk ""Zakończ"" powoduje zakończenie pracy nad zadaniami i wysłanie odpowiedzi do oceny."
36,"Przycisk ""Zakończ"" można kliknąć tylko raz, nie ma możliwości cofnięcia czynności"
37,"Po kliknięciu przycisku ""Zakończ"" wyświetla się komunikat wymagający potwierdzenia o treści ""Po zakończeniu Twój wynik zostanie przeliczony w oparciu o aktualne rozwiązane zadania. Czy chcesz zakończyć?"""
38,"Po kliknięciu ""Zakończ"" i zaakceptowaniu komunikatu pojawia się nowe okno z aktualną punktacją oraz z ilością ukończonych zadań"
39,"Zadanie do wykonania jest wyświetlane w oknie ""Zadania"""
40,Okno aplikacji powinno mieścić się w całości na ekranie monitora o rozdzielczości 1024x768
41,W oknie aplikacji musi znaleźć się ikona MrBuggy 3
42,Dostęp do części serwerowej realizowany przez linię komend lub interfejs graficzny użytkownika części serwerowej
43,Czas odpowiedzi interfejsu krótszy od 1 sekundy
44,Raport zbiorczy ma się generować nie dłużej niż 15 sekund
45,Wielkość pliku z kopią zapasową aplikacji klienckiej nie może przekraczać 2MB
46,Aplikacja serwerowa musi być w stanie przyjąć w jednym momencie do 50 raportów użytkowników
47,Aplikacja kliencka po uruchomieniu nie może zajmować więcej niż 100MB pamięci operacyjnej
48,Dostęp do części serwerowej musi być zabezpieczony loginem i hasłem
49,Loginy muszą być indywidualne dla każdego użytkownika części serwerowej aplikacji
50,"Login musi składać się z 4 do 8 znaków i zawierać przynajmniej jedną małą literę, wielką literę, cyfrę i znak specjalny. Nie może zawierać białych znaków ani polskich znaków dialektycznych"
51,"Hasło musi składać się z co najmnije 20 znaków i zawierać przynajmniej jedną małą literę, wielką literę, cyfrę i znak specjalny. Nie może zawierać białych znaków ani polskich znaków dialektycznych"
52,Hasła muszą być przechowywane w formacie zaszyfrowanym
53,"Zaimplementowana procedura zakładania, przywracania oraz odblokowywania konta"
54,Zaimplementowana procedura zmiany hasła
55,Konto blokowane po 3 krotnym wpisaniu błędnego hasła 
56,Wyświetlany komunikat o błędnym haśle po każdym jego błędnym wpisaniu
57,Tokeny do konta generowane losowo
58,Część serwerowa posiada możliwość tworzenia kopii zapasowej raportu zbiorczego
59,W ciągu roku średnia ilość awarii w jednym dniu nie może przekraczać 1
60,Przełączanie pomiędzy zadaniami nie może być dłuższe niż 1 sekunda
61,"Instalator aplikacji nie jest wymagany. Aplikacja dostarczona w postaci archiwum ""zip"". Rozpakowanie archiwum musi zawierać plik wykonawczy, który uruchamia aplikację oraz niezbędne biblioteki i zasoby"
62,"defekty oceniane według następujących zasad: 
- błąd trywialny (1-2 pkt) 
- błąd normalny (3-4pkt)
- błąd krytyczny (5-6 pkt)
- za zgłoszenie błędu, który nie jest błędem -2 pkt
- 0 pkt za brak zgłoszenia błędu w zadaniu"
63,Czas trwania rundy to 2 godziny
